RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
624,"CHRISTOPHEREVERING
Mid Atlantic
Age 34
71 in | 185 lb
View Profile",8857,"1029th (422 reps)13 rounds +
6 toes-to-barsJudged by Andrew King at CrossFit Bel Air.","2045th(4:57)110 reps
322 lb.(4:57)Judged by Andrew King at CrossFit Bel Air.",1825th (322 lb)322 lb.(4:57)Judged by Andrew King at CrossFit Bel Air.,"1904th (691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(13:05)Judged by Andrew King at CrossFit Bel Air.","805th (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:56)Judged by Andrew King at CrossFit Bel Air.","1249th (151 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 4 PUJudged by Andrew King at CrossFit Bel Air."
625,"SHAWNBHATTI
West Coast
Age 24
72 in | 202 lb
View Profile",8860,"2360th (403 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
1 caloriesJudged by Patrick Minehan at CrossFit Code 3 South.","2191st(4:59)110 reps
327 lb.(4:59)Judged by Jesse Beckner at CrossFit Code 3 South.",1349th (327 lb)327 lb.(4:59)Judged by Jesse Beckner at CrossFit Code 3 South.,"762nd (729 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
33 double-unders(12:18)Judged by Matt Nolan at CrossFit Code 3 South.","577th (160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:32)Judged by Jesse Beckner at CrossFit Code 3 South.","1621st (147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Michael Samela at CrossFit Code 3 South."
626,"BRIANSTITES
North Central
Age 37
70 in | 190 lb
View Profile",8867,"1336th (416 reps)13 rounds +
0 toes-to-barsJudged by Robb Beabout at CrossFit On Track.","1054th(4:41)110 reps
305 lb.(4:41)Judged by Robb Beabout at CrossFit On Track.",4396th (305 lb)305 lb.(4:41)Judged by Robb Beabout at CrossFit On Track.,"1567th (693 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
9 ring muscle-ups(13:01)Judged by Diana Alt at CrossFit On Track.",395th (8:57)165 reps(8:57)Judged by Diana Alt at CrossFit On Track.,"119th (173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Robb Beabout at CrossFit On Track."
627,"JUSTINAHRENS
West Coast
Age 31
73 in | 195 lb
View Profile",8868,"183rd (447 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
13 caloriesJudged by Diane Stuart at Treeline CrossFit.","5071st(5:28)110 reps
326 lb.(5:28)Judged by Diane Stuart at Treeline CrossFit.",1481st (326 lb)326 lb.(5:28)Judged by Diane Stuart at Treeline CrossFit.,"766th (728 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
32 double-unders(12:29)Judged by Shanna Bunce at Treeline CrossFit.","968th (153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:49)Judged by Dennis Capel at Treeline CrossFit.","399th (164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Dennis Capel at Treeline CrossFit."
628,"KENTINGALLS
Mid Atlantic
Age 36
69 in | 181 lb
View Profile",8879,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Sam Ernst at CrossFit Rappahannock.","2123rd(4:58)110 reps
325 lb.(4:58)Judged by Kristen Perez at CrossFit Rappahannock.",1540th (325 lb)325 lb.(4:58)Judged by Kristen Perez at CrossFit Rappahannock.,"1867th (691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(12:55)Judged by Kristen Perez at CrossFit Rappahannock.","828th (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:58)Judged by Kristen Perez at CrossFit Rappahannock.","1621st (147 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr.Judged by Sam Ernst at CrossFit Rappahannock."
629,"LANDONBRAZELL
South East
Age 36
72 in | 195 lb
View Profile",8880,"1336th (416 reps)13 rounds +
0 toes-to-barsJudged by Jake Naumcheff at CrossFit Embrace.","2755th(5:06)110 reps
325 lb.(5:06)Judged by Keisha Brazell at CrossFit Embrace.",1547th (325 lb)325 lb.(5:06)Judged by Keisha Brazell at CrossFit Embrace.,"664th (742 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
46 double-unders(12:18)Judged by Keisha Brazell at CrossFit Embrace.","1495th (146 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk(7:45)Judged by Keisha Brazell at CrossFit Embrace.","1083rd (153 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 6 PUJudged by Keisha Brazell at CrossFit Embrace."
630,"GRANTBELROSE
South Central
Age 26
72 in | 195 lb
View Profile",8881,"671st (429 reps)13 rounds +
8 toes-to-bars
5 clean & jerksJudged by Tyler Belrose at 936 CrossFit.","2603rd(5:04)110 reps
306 lb.(5:04)Judged by Brody Sizemore at CrossFit Nac.",4284th (306 lb)306 lb.(5:04)Judged by Brody Sizemore at CrossFit Nac.,"738th (731 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
35 double-unders(11:58)Judged by Brody Sizemore at CrossFit Nac.",145th (8:14)165 reps(8:14)Judged by Tyler Belrose at CrossFit Nac.,"440th (163 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 16 PUJudged by Tyler Belrose at 936 CrossFit."
631,"BASELQATAMESHACCEPTED
Africa Middle East
Age 29
177 cm | 81 kg
View Profile",8885,"1001st (423 reps)13 rounds +
7 toes-to-barsJudged by Mamoun Khdair at CrossFit Ramallah.","963rd (4:39)110 reps
315 lb.(4:39)Judged by Fuad Najjab at CrossFit Ramallah.",2605th (315 lb)315 lb.(4:39)Judged by Fuad Najjab at CrossFit Ramallah.,"157th (809 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
13 snatches(13:25)Judged by Faris Arouri at CrossFit Ramallah.","893rd (154 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
8 deadlifts(7:24)Judged by Fuad Najjab at CrossFit Ramallah.","3266th (139 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
13 thr.Judged by Fuad Najjab at CrossFit Ramallah."
632,"ADAMLEANEY
Australasia
Age 25
184 cm | 93 kg
View Profile",8901,"143rd (448 reps)14 rounds +
0 toes-to-barsJudged by Aaron Troyer at CrossFit Mode.","2191st(4:59)110 reps
320 lb.(4:59)Judged by Jolien van Golde at CrossFit Mode.",1989th (320 lb)320 lb.(4:59)Judged by Jolien van Golde at CrossFit Mode.,"693rd (737 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
41 double-unders(11:32)Judged by Aaron Troyer at CrossFit Mode.","2040th (141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:18)Judged by Mary Marko at CrossFit Mode.","1845th (146 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
20 thr.Judged by Aaron Troyer at CrossFit Mode."
633,"CODYLEACH
West Coast
Age 26
74 in | 217 lb
View Profile",8902,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Hunter Kellogg at CrossFit Echelon.","4316th(5:22)110 reps
315 lb.(5:22)Judged by Hunter Kellogg at CrossFit Echelon.",2671st (315 lb)315 lb.(5:22)Judged by Hunter Kellogg at CrossFit Echelon.,"217th (803 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
7 snatches(13:04)Judged by Hunter Kellogg at CrossFit Echelon.",153rd (8:17)165 reps(8:17)Judged by Hunter Kellogg at CrossFit Echelon.,"645th (159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Hunter kellog at CrossFit Echelon."
634,"ANTHONYVORACHAK
North East
Age 29
69 in | 190 lb
View Profile",8906,"1558th (414 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
12 caloriesJudged by Alaina Savage at CrossFit RVC.","1054th(4:41)110 reps
345 lb.(4:41)Judged by Lochrane Gary at CrossFit RVC.",421st (345 lb)345 lb.(4:41)Judged by Lochrane Gary at CrossFit RVC.,"241st (802 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
6 snatches(13:49)Judged by Christopher Pearson at CrossFit RVC.","1762nd(144 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
40 ft. handstand walk(8:33)Judged by Nicole Laudano at CrossFit Palm Harbor.","3870th (137 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
11 thr.Judged by Christopher Pearson at CrossFit RVC."
635,"CHRISHOGAN
Australasia
Age 32
179 cm | 200 lb
View Profile",8909,"1336th (416 reps)13 rounds +
0 toes-to-barsJudged by Maria Hogan at CrossFit 121.","1054th(4:41)110 reps
301 lb.(4:41)Judged by Maria Hogan at CrossFit 121.",5290th (301 lb)301 lb.(4:41)Judged by Maria Hogan at CrossFit 121.,"297th (798 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
2 snatches(13:54)Judged by Maria Hogan at CrossFit 121.",287th (8:45)165 reps(8:45)Judged by Maria Hogan at CrossFit 121.,"645th (159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Maria Hogan at CrossFit 121."
636,"NICHOLASDELGRANDE
North East
Age 26
67 in | 187 lb
View Profile",8912,"5322nd(385 reps)12 rounds +
1 toes-to-barsJudged by Jason Leydon at CrossFit Milford.","1387th(4:47)110 reps
353 lb.(4:47)Judged by Jason Leydon at CrossFit Milford.",253rd (353 lb)353 lb.(4:47)Judged by Jason Leydon at CrossFit Milford.,"825th (722 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
26 double-unders(12:43)Judged by Katelyn Coons at Savin Rock CrossFit.",269th (8:42)165 reps(8:42)Judged by Katelyn Coons at Savin Rock CrossFit.,"856th (156 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 9 PUJudged by Katelyn Coons at CrossFit Milford."
637,"GARYHELMICK
Mid Atlantic
Age 30
70 in | 180 lb
View Profile",8913,"839th (425 reps)13 rounds +
8 toes-to-bars
1 clean & jerksJudged by Alea Helmick at CrossFit Revamped.","223rd (4:17)110 reps
297 lb.(4:17)Judged by Thomas Kozakiewicz at CrossFit Revamped.",6264th (297 lb)297 lb.(4:17)Judged by Thomas Kozakiewicz at CrossFit Revamped.,"503rd (767 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
71 double-unders(11:59)Judged by Colleen Graham at CrossFit Revamped.","597th (160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:38)Judged by Tanya Doggett at CrossFit Revamped.","487th (162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by German Niño at CrossFit Revamped."
638,"MICHAELMOGARD
Asia
Age 34
69 in | 178 lb
View Profile",8938,"2089th (406 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Emily Mogard at Reebok CrossFit 673.","1966th(4:56)110 reps
352 lb.(4:56)Judged by Emily Mogard at Reebok CrossFit 673.",285th (352 lb)352 lb.(4:56)Judged by Emily Mogard at Reebok CrossFit 673.,"1523rd (693 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
9 ring muscle-ups(12:49)Judged by Emily Mogard at Reebok CrossFit 673.","2714th (137 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
5 ft. handstand walk(8:57)Judged by Emily Mogard at Reebok CrossFit 673.","361st (165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Emily Mogard at Reebok CrossFit 673."
639,"TYLEROGG
South East
Age 27
70 in | 198 lb
View Profile",8980,"1273rd (417 reps)13 rounds +
1 toes-to-barsJudged by Alex Ruggiere at CrossFit Boynton Beach.","963rd (4:39)110 reps
337 lb.(4:39)Judged by Alex Pottinger at IronClad CrossFit.",696th (337 lb)337 lb.(4:39)Judged by Alex Pottinger at IronClad CrossFit.,"3299th (685 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
1 ring muscle-ups(12:55)Judged by Alex Ruggiere at CrossFit Boynton Beach.",59th (7:37)165 reps(7:37)Judged by Alex Ruggiere at CrossFit Boynton Beach.,"2690th (141 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
15 thr.Judged by Alex Ruggiere at CrossFit Boynton Beach."
640,"ERIKSSELICKIS
Europe North
Age 27
190 lb
View Profile",8987,"593rd (431 reps)13 rounds +
8 toes-to-bars
7 clean & jerksJudged by Stepan Stafik at CrossFit 4Life Riga.","1811th(4:54)110 reps
324 lb.(4:54)Judged by Marcis Mucenieks at CrossFit 4Life Riga.",1742nd(324 lb)324 lb.(4:54)Judged by Marcis Mucenieks at CrossFit 4Life Riga.,"2281st (690 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
6 ring muscle-ups(13:34)Judged by Stepan Stafik at CrossFit 4Life Riga.","489th (162 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
35 ft. handstand walk(8:09)Judged by Stepan Stafik at CrossFit 4Life Riga.","2071st (144 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
18 thr.Judged by Stepan Stafik at CrossFit 4Life Riga."
641,"BLAKESEWELL
Mid Atlantic
Age 32
72 in | 210 lb
View Profile",8993,"593rd (431 reps)13 rounds +
8 toes-to-bars
7 clean & jerksJudged by Jeff Jefferies at CrossFit Chesapeake.","1566th(4:50)110 reps
312 lb.(4:50)Judged by Jessica Smith at CrossFit Chesapeake.",3212th (312 lb)312 lb.(4:50)Judged by Jessica Smith at CrossFit Chesapeake.,"2522nd(689 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
5 ring muscle-ups(13:40)Judged by Jeff Jefferies at CrossFit Chesapeake.","1015th (152 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
6 deadlifts(7:40)Judged by Jeff Jefferies at CrossFit Chesapeake.","85th (175 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
7 thr.Judged by Jeff Jefferies at CrossFit Chesapeake."
642,"LONGEARETJAISON
Europe South
Age 23
View Profile",9000,"2172nd(405 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
3 caloriesJudged by yann Gizard at CrossFit Hostilius.","1150th(4:43)110 reps
314 lb.(4:43)Judged by yann Gizard at CrossFit Hostilius.",3090th (314 lb)314 lb.(4:43)Judged by yann Gizard at CrossFit Hostilius.,"1034th (700 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
4 double-unders(13:00)Judged by yann Gizard at CrossFit Hostilius.","1067th (152 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
6 deadlifts(8:35)Judged by yann Gizard at CrossFit Hostilius.","487th (162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by yann Gizard at CrossFit Hostilius."
643,"CALLUMWARD
Australasia
Age 31
182 cm | 204 lb
View Profile",9010,"289th (441 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Gavin Ward at CrossFit Towards.","43rd (4:00)110 reps
297 lb.(4:00)Judged by Gavin Ward at CrossFit Towards.",6261st (297 lb)297 lb.(4:00)Judged by Gavin Ward at CrossFit Towards.,"944th (710 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
14 double-unders(13:46)Judged by Gavin Ward at CrossFit Towards.",61st (7:38)165 reps(7:38)Judged by Gavin Ward at CrossFit Towards.,"1412th (149 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 2 PUJudged by Gavin Ward at CrossFit Towards."
644,"DENISCLOTTEN
Europe Central
Age 28
181 cm | 185 lb
View Profile",9017,"1336th (416 reps)13 rounds +
0 toes-to-barsJudged by Kevin Clotten at CrossFit PWHS.","1054th(4:41)110 reps
300 lb.(4:41)Judged by Kevin Clotten at CrossFit PWHS.",5407th (300 lb)300 lb.(4:41)Judged by Kevin Clotten at CrossFit PWHS.,"223rd (803 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
7 snatches(13:43)Judged by Kevin Clotten at CrossFit PWHS.","452nd (164 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
45 ft. handstand walk(8:28)Judged by Kevin Clotten at CrossFit PWHS.","545th (161 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 14 PUJudged by Kevin Clotten at CrossFit PWHS."
645,"CHARLIEKARLSSON
Europe North
Age 25
180 cm | 187 lb
View Profile",9032,"1871st (409 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Åsa Pennebratt at CrossFit Ibex.","742nd(4:34)110 reps
311 lb.(4:34)Judged by Åsa Pennebratt at CrossFit Ibex.",3312th (311 lb)311 lb.(4:34)Judged by Åsa Pennebratt at CrossFit Ibex.,"320th (797 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
1 snatches(13:57)Judged by Nathalie Thoresen at CrossFit Ibex.","2300th (140 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
20 ft. handstand walk(8:43)Judged by Åsa Pennebratt at CrossFit Ibex.","487th (162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Sharam Tristan Alborz at CrossFit Ibex."
646,"JUSTINFALLON
South West
Age 32
71 in | 185 lb
View Profile",9055,"386th (436 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
2 caloriesJudged by Jake Holmberg at CrossFit Blur.","649th (4:32)110 reps
308 lb.(4:32)Judged by Nick Shafer at CrossFit Blur.",3819th (308 lb)308 lb.(4:32)Judged by Nick Shafer at CrossFit Blur.,"3169th (686 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
2 ring muscle-ups(13:46)Judged by Nick Shafer at CrossFit Blur.",29th (7:16)165 reps(7:16)Judged by Nick Shafer at CrossFit Blur.,"1003rd (154 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 7 PUJudged by Nick Shafer at CrossFit Blur."
647,"TIMOFEYPROLUBNIKOV
Europe North
Age 27
View Profile",9063,"91st (453 reps)14 rounds +
5 toes-to-barsJudged by Anastasya Shabusheva at Sever CrossFit.","491st (4:27)110 reps
293 lb.(4:27)Judged by Anastasya Shabusheva at Sever CrossFit.",7615th (293 lb)293 lb.(4:27)Judged by Anastasya Shabusheva at Sever CrossFit.,"554th (759 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
63 double-unders(11:59)Judged by Anastasya Shabusheva at Sever CrossFit.",258th (8:41)165 reps(8:41)Judged by Anastasya Shabusheva at Sever CrossFit.,"54th (178 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
10 thr.Judged by Anastasya Shabusheva at Sever CrossFit."
648,"ALEKSANDRTKACHENKO
Europe North
Age 27
View Profile",9068,"1645th(412 reps) 12 rounds +
8 toes-to-bars
10 clean & jerks
10 calories","4564th(5:24)110 reps
374 lb.(5:24)Judged by Kseniya Zelenko at Grand CrossFit 2.",53rd (374 lb)374 lb.(5:24)Judged by Kseniya Zelenko at Grand CrossFit 2.,"1628th (692 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
8 ring muscle-ups(12:23)Judged by Kseniya Zelenko at Grand CrossFit 2.","691st (157 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
10 ft. handstand walk(8:30)Judged by Kseniya Zelenko at Grand CrossFit 2.","487th (162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Kseniya Zelenko at Grand CrossFit 2."
649,"KYLEBOYER
South West
Age 38
72 in | 200 lb
View Profile",9074,"1951st (408 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Stacy Leavitt at CrossFit Dixie.","1387th(4:47)110 reps
353 lb.(4:47)Judged by Stacy Leavitt at CrossFit Dixie.",253rd (353 lb)353 lb.(4:47)Judged by Stacy Leavitt at CrossFit Dixie.,"2776th (688 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
4 ring muscle-ups(13:46)Judged by Stacy Leavitt at CrossFit Dixie.","1704th (144 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
40 ft. handstand walk(7:40)Judged by Stacy Leavitt at CrossFit Dixie.","1003rd (154 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 7 PUJudged by Stacy Leavitt at CrossFit Dixie."
650,"CAREYBLANTON
Mid Atlantic
Age 23
View Profile",9096,"1716th(411 reps) 12 rounds +
8 toes-to-bars
10 clean & jerks
9 calories","4442nd(5:23) 110 reps
340 lb.(5:23)",614th(340 lb) 340 lb.(5:23),"198th (805 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
9 snatches(13:38)Judged by Scott Mirkin at South Slope CrossFit.","632nd (159 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
20 ft. handstand walk(8:25)Judged by Scott Mirkin at South Slope CrossFit.","1494th(148 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 1 PU"
651,"DANNYNICHOLS
South West
Age 36
72 in | 230 lb
View Profile",9103,"338th(438 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Justin Fallon at CrossFit Blur.","4316th(5:22)110 reps
367 lb.(5:22)Judged by Justin Fallon at CrossFit Blur.",80th (367 lb)367 lb.(5:22)Judged by Justin Fallon at CrossFit Blur.,"1271st(695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(13:05)Judged by Justin Fallon at CrossFit Blur South.",126th(8:05)165 reps(8:05)Judged by Justin Fallon at CrossFit Blur.,"2972nd(140 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
14 thr.Judged by Justin Fallon at CrossFit Blur."
